Athlete,Profile Link 1,Profile Link 2,event,time,,,,position,,,,venue,meeting,date,venue-link,category
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXCL,14:59,,,,21,L3,,,Cumbernauld,Scottish National Relay Championships,27 Oct 12,http://powerof10.info/results/results.aspx?meetingid=72530&event=ZXCL&venue=Cumbernauld&date=27-Oct-12,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,1.4M,11:01,,,,9,,,,East Lomond,ToF Up Hell Time Trial,29 Jul 11,http://powerof10.info/results/results.aspx?meetingid=54244&event=1.4M&venue=East+Lomond&date=29-Jul-11,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,2M,11:22,,,,34,,,,Edinburgh,Self Transcendence Edinburgh 2,20 Jul 11,http://powerof10.info/results/results.aspx?meetingid=50248&event=2M&venue=Edinburgh&date=20-Jul-11,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,parkrun,18:11,,,,17,,,,Edinburgh Silverknowes,Edinburgh parkrun # 63,29 Jan 11,http://powerof10.info/results/results.aspx?meetingid=44349&event=parkrun&venue=Edinburgh+Silverknowes&date=29-Jan-11,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,4.25MMT,25:34,,,,16,,,,St Andrews,ToF Chariots of Fire Beach Race,30 Jul 11,http://powerof10.info/results/results.aspx?meetingid=54245&event=4.25MMT&venue=St+Andrews&date=30-Jul-11,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,4.7MMT,30:41,,,,14,,,,Ceres,ToF Tarvit Trail Race,28 Jul 11,http://powerof10.info/results/results.aspx?meetingid=54243&event=4.7MMT&venue=Ceres&date=28-Jul-11,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,SHORT5M,24:38,,,,8,,,,Fife,Black Rock 5,1 Jul 11,http://powerof10.info/results/results.aspx?meetingid=53612&event=SHORT5M&venue=Fife&date=1-Jul-11,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,5.1MMT,32:19,,,,21,,,,Strathmiglo,ToF Twisted Chicken Run,31 Jul 11,http://powerof10.info/results/results.aspx?meetingid=54246&event=5.1MMT&venue=Strathmiglo&date=31-Jul-11,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,Mar,2:41:26,,,2:41:23,10,,,,|Apeldoorn, NED|,Midwinter Marathon,6 Feb 11,http://powerof10.info/results/results.aspx?meetingid=48522&event=Mar&venue=Apeldoorn%2c+NED&date=6-Feb-11,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXC,13:18,,,,45,,,,Glasgow,Scottish National 4K Championships,30 Jan 11,http://powerof10.info/results/results.aspx?meetingid=41295&event=ZXC&venue=Glasgow&date=30-Jan-11,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXC,14:33,,,,83,,,,Glasgow,Scottish National 4K Championships,5 Nov 11,http://powerof10.info/results/results.aspx?meetingid=56941&event=ZXC&venue=Glasgow&date=5-Nov-11,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXC,32:36,,,,23,,,,Stirling University,East District League,15 Oct 11,http://powerof10.info/results/results.aspx?meetingid=55602&event=ZXC&venue=Stirling+University&date=15-Oct-11,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXC,34:52,,,,30,,,,Aberdeen,Scottish East District Championships,10 Dec 11,http://powerof10.info/results/results.aspx?meetingid=55599&event=ZXC&venue=Aberdeen&date=10-Dec-11,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXC,35:16,,,,24,,,,Livingston (Deans),East District League,20 Nov 11,http://powerof10.info/results/results.aspx?meetingid=55601&event=ZXC&venue=Livingston+(Deans)&date=20-Nov-11,SEN
